Year,Animal_Type,breed,cnt,total,share,rank_in_year_type,prev_cnt,yoy_cnt_diff,yoy_cnt_pct_change,prev_share,yoy_share_point_diff,yoy_share_pct_change
2024,CAT,EXOTIC SHORTHAIR,27,18729,0.0014,19,15,12,0.8,0.0008,0.0006,0.75
2025,CAT,EXOTIC SHORTHAIR,11,15290,0.0007,23,27,-16,-0.5926,0.0014,-0.0007,-0.5
2025,CAT,GREY CAT,1,15290,0.0001,49,null,null,null,null,null,null
2023,CAT,HAVANA BROWN,1,17747,0.0001,43,null,null,null,null,null,null
2024,CAT,HAVANA BROWN,1,18729,0.0001,44,1,0,0,0.0001,0,0
2025,CAT,HAVANA BROWN,2,15290,0.0001,42,1,1,1,0.0001,0,0
2025,CAT,HAVANESE,1,15290,0.0001,50,null,null,null,null,null,null
2023,CAT,HIMALAYAN,55,17747,0.0031,13,null,null,null,null,null,null
2024,CAT,HIMALAYAN,66,18729,0.0035,13,55,11,0.2,0.0031,0.0004,0.129
2025,CAT,HIMALAYAN,70,15290,0.0046,13,66,4,0.0606,0.0035,0.0011,0.3143
2023,CAT,INDIAN CAT,1,17747,0.0001,44,null,null,null,null,null,null
2023,CAT,JAPANESE BOBTAIL,2,17747,0.0001,36,null,null,null,null,null,null
2025,CAT,JAPANESE BOBTAIL,1,15290,0.0001,51,2,-1,-0.5,0.0001,0,0
2023,CAT,KORAT,2,17747,0.0001,37,null,null,null,null,null,null
2024,CAT,KORAT,4,18729,0.0002,36,2,2,1,0.0001,0.0001,1
2025,CAT,KORAT,3,15290,0.0002,39,4,-1,-0.25,0.0002,0,0
2025,CAT,LONG HAIR MEDIU,1,15290,0.0001,52,null,null,null,null,null,null
2023,CAT,MAINE COON,158,17747,0.0089,6,null,null,null,null,null,null
2024,CAT,MAINE COON,170,18729,0.0091,7,158,12,0.0759,0.0089,0.0002,0.0225
2025,CAT,MAINE COON,158,15290,0.0103,8,170,-12,-0.0706,0.0091,0.0012,0.1319
2024,CAT,MALAYAN,1,18729,0.0001,45,null,null,null,null,null,null
2023,CAT,MANX,8,17747,0.0005,26,null,null,null,null,null,null
2024,CAT,MANX,12,18729,0.0006,24,8,4,0.5,0.0005,0.0001,0.2
2025,CAT,MANX,7,15290,0.0005,31,12,-5,-0.4167,0.0006,-0.0001,-0.1667
2025,CAT,MIX BENGAL TABB,1,15290,0.0001,53,null,null,null,null,null,null
