Year,Animal_Type,breed,cnt,total,share,rank_in_year_type,prev_cnt,yoy_cnt_diff,yoy_cnt_pct_change,prev_share,yoy_share_point_diff,yoy_share_pct_change
2024,DOG,BELGIAN TERVUREN,7,46201,0.0002,186,6,1,0.1667,0.0001,0.0001,1
2025,DOG,BELGIAN TERVUREN,5,37502,0.0001,192,7,-2,-0.2857,0.0002,-0.0001,-0.5
2023,DOG,BENGAL,2,44954,0,224,null,null,null,null,null,null
2024,DOG,BERGER BLANC SU,1,46201,0,257,null,null,null,null,null,null
2023,DOG,BERNEDOODLE,12,44954,0.0003,162,null,null,null,null,null,null
2024,DOG,BERNEDOODLE,8,46201,0.0002,179,12,-4,-0.3333,0.0003,-0.0001,-0.3333
2025,DOG,BERNEDOODLE,13,37502,0.0003,148,8,5,0.625,0.0002,0.0001,0.5
2023,DOG,BERNESE HOUND,7,44954,0.0002,184,null,null,null,null,null,null
2024,DOG,BERNESE HOUND,4,46201,0.0001,203,7,-3,-0.4286,0.0002,-0.0001,-0.5
2025,DOG,BERNESE HOUND,4,37502,0.0001,199,4,0,0,0.0001,0,0
2023,DOG,BERNESE MOUNTAIN DOG,668,44954,0.0149,18,null,null,null,null,null,null
2024,DOG,BERNESE MOUNTAIN DOG,719,46201,0.0156,16,668,51,0.0763,0.0149,0.0007,0.047
2025,DOG,BERNESE MOUNTAIN DOG,597,37502,0.0159,17,719,-122,-0.1697,0.0156,0.0003,0.0192
2023,DOG,BICHON FRISE,599,44954,0.0133,19,null,null,null,null,null,null
2024,DOG,BICHON FRISE,599,46201,0.013,21,599,0,0,0.0133,-0.0003,-0.0226
2025,DOG,BICHON FRISE,469,37502,0.0125,23,599,-130,-0.217,0.013,-0.0005,-0.0385
2025,DOG,BICHON FRIS̩ M,1,37502,0,259,null,null,null,null,null,null
2025,DOG,BICHON MALTES,1,37502,0,260,null,null,null,null,null,null
2025,DOG,BICHON POODLE,1,37502,0,261,null,null,null,null,null,null
2024,DOG,BIEWER TERRIER,3,46201,0.0001,216,null,null,null,null,null,null
2025,DOG,BIEWER TERRIER,3,37502,0.0001,209,3,0,0,0.0001,0,0
2023,DOG,BLACK AND TAN COONHOUND,5,44954,0.0001,199,null,null,null,null,null,null
2024,DOG,BLACK AND TAN COONHOUND,4,46201,0.0001,204,5,-1,-0.2,0.0001,0,0
2025,DOG,BLACK AND TAN COONHOUND,3,37502,0.0001,210,4,-1,-0.25,0.0001,0,0
2023,DOG,BLACK MOUTH CUR,31,44954,0.0007,117,null,null,null,null,null,null
2024,DOG,BLACK MOUTH CUR,39,46201,0.0008,111,31,8,0.2581,0.0007,0.0001,0.1429
2025,DOG,BLACK MOUTH CUR,28,37502,0.0007,113,39,-11,-0.2821,0.0008,-0.0001,-0.125
2023,DOG,BLACK RUSSIAN TERRIER,13,44954,0.0003,156,null,null,null,null,null,null
2024,DOG,BLACK RUSSIAN TERRIER,12,46201,0.0003,162,13,-1,-0.0769,0.0003,0,0
2025,DOG,BLACK RUSSIAN TERRIER,9,37502,0.0002,164,12,-3,-0.25,0.0003,-0.0001,-0.3333
2023,DOG,BLOODHOUND,8,44954,0.0002,178,null,null,null,null,null,null
2024,DOG,BLOODHOUND,12,46201,0.0003,163,8,4,0.5,0.0002,0.0001,0.5
2025,DOG,BLOODHOUND,8,37502,0.0002,170,12,-4,-0.3333,0.0003,-0.0001,-0.3333
2025,DOG,BLUE CANE CORSO,1,37502,0,262,null,null,null,null,null,null
2023,DOG,BLUE LACY,3,44954,0.0001,212,null,null,null,null,null,null
2024,DOG,BLUE LACY,3,46201,0.0001,217,3,0,0,0.0001,0,0
2025,DOG,BLUE LACY,2,37502,0.0001,222,3,-1,-0.3333,0.0001,0,0
2023,DOG,BLUETICK COONHOUND,16,44954,0.0004,145,null,null,null,null,null,null
2024,DOG,BLUETICK COONHOUND,14,46201,0.0003,155,16,-2,-0.125,0.0004,-0.0001,-0.25
2025,DOG,BLUETICK COONHOUND,14,37502,0.0004,145,14,0,0,0.0003,0.0001,0.3333
2023,DOG,BOERBOEL,9,44954,0.0002,172,null,null,null,null,null,null
2024,DOG,BOERBOEL,5,46201,0.0001,195,9,-4,-0.4444,0.0002,-0.0001,-0.5
2025,DOG,BOERBOEL,2,37502,0.0001,223,5,-3,-0.6,0.0001,0,0
2024,DOG,BOLONKA ZWETNA,1,46201,0,258,null,null,null,null,null,null
2023,DOG,BORDER COLLIE,933,44954,0.0208,13,null,null,null,null,null,null
2024,DOG,BORDER COLLIE,964,46201,0.0209,13,933,31,0.0332,0.0208,0.0001,0.0048
2025,DOG,BORDER COLLIE,753,37502,0.0201,15,964,-211,-0.2189,0.0209,-0.0008,-0.0383
2025,DOG,BORDER COLLIE S,1,37502,0,263,null,null,null,null,null,null
2023,DOG,BORDER TERRIER,99,44954,0.0022,67,null,null,null,null,null,null
2024,DOG,BORDER TERRIER,87,46201,0.0019,73,99,-12,-0.1212,0.0022,-0.0003,-0.1364
2025,DOG,BORDER TERRIER,77,37502,0.0021,70,87,-10,-0.1149,0.0019,0.0002,0.1053
2023,DOG,BORZOI,7,44954,0.0002,185,null,null,null,null,null,null
2024,DOG,BORZOI,6,46201,0.0001,191,7,-1,-0.1429,0.0002,-0.0001,-0.5
2025,DOG,BORZOI,5,37502,0.0001,193,6,-1,-0.1667,0.0001,0,0
2023,DOG,BOSTON TERRIER,445,44954,0.0099,27,null,null,null,null,null,null
2024,DOG,BOSTON TERRIER,428,46201,0.0093,29,445,-17,-0.0382,0.0099,-0.0006,-0.0606
2025,DOG,BOSTON TERRIER,347,37502,0.0093,30,428,-81,-0.1893,0.0093,0,0
2023,DOG,BOUVIER DES FLANDRES,51,44954,0.0011,99,null,null,null,null,null,null
2024,DOG,BOUVIER DES FLANDRES,49,46201,0.0011,101,51,-2,-0.0392,0.0011,0,0
2025,DOG,BOUVIER DES FLANDRES,37,37502,0.001,103,49,-12,-0.2449,0.0011,-0.0001,-0.0909
2023,DOG,BOXER,515,44954,0.0115,25,null,null,null,null,null,null
2024,DOG,BOXER,530,46201,0.0115,26,515,15,0.0291,0.0115,0,0
2025,DOG,BOXER,406,37502,0.0108,26,530,-124,-0.234,0.0115,-0.0007,-0.0609
2024,DOG,BOXER - CANE CO,1,46201,0,259,null,null,null,null,null,null
2024,DOG,BOXER - MASTIFF,1,46201,0,260,null,null,null,null,null,null
2023,DOG,BOYKIN SPANIEL,3,44954,0.0001,213,null,null,null,null,null,null
2024,DOG,BOYKIN SPANIEL,3,46201,0.0001,218,3,0,0,0.0001,0,0
2025,DOG,BOYKIN SPANIEL,1,37502,0,264,3,-2,-0.6667,0.0001,-0.0001,-1
2024,DOG,BRACCO ITALIANO,1,46201,0,261,null,null,null,null,null,null
2025,DOG,BRACCO ITALIANO,1,37502,0,265,1,0,0,0,0,null
2023,DOG,BRIARD,9,44954,0.0002,173,null,null,null,null,null,null
2024,DOG,BRIARD,7,46201,0.0002,187,9,-2,-0.2222,0.0002,0,0
2025,DOG,BRIARD,8,37502,0.0002,171,7,1,0.1429,0.0002,0,0
2024,DOG,BRITISH SHORT H,1,46201,0,262,null,null,null,null,null,null
2023,DOG,BRITTANY,112,44954,0.0025,60,null,null,null,null,null,null
2024,DOG,BRITTANY,125,46201,0.0027,60,112,13,0.1161,0.0025,0.0002,0.08
2025,DOG,BRITTANY,110,37502,0.0029,55,125,-15,-0.12,0.0027,0.0002,0.0741
2025,DOG,BRITTANYPOO,1,37502,0,266,null,null,null,null,null,null
2023,DOG,BRUSSELS GRIFFON,47,44954,0.001,104,null,null,null,null,null,null
2024,DOG,BRUSSELS GRIFFON,46,46201,0.001,103,47,-1,-0.0213,0.001,0,0
2025,DOG,BRUSSELS GRIFFON,37,37502,0.001,104,46,-9,-0.1957,0.001,0,0
2023,DOG,BULL TERRIER,60,44954,0.0013,87,null,null,null,null,null,null
2024,DOG,BULL TERRIER,70,46201,0.0015,86,60,10,0.1667,0.0013,0.0002,0.1538
2025,DOG,BULL TERRIER,54,37502,0.0014,85,70,-16,-0.2286,0.0015,-0.0001,-0.0667
2023,DOG,BULLDOG,140,44954,0.0031,54,null,null,null,null,null,null
2024,DOG,BULLDOG,118,46201,0.0026,63,140,-22,-0.1571,0.0031,-0.0005,-0.1613
2025,DOG,BULLDOG,107,37502,0.0029,57,118,-11,-0.0932,0.0026,0.0003,0.1154
2025,DOG,BULLDOG AMERICA,1,37502,0,267,null,null,null,null,null,null
2025,DOG,BULLDOG X,1,37502,0,268,null,null,null,null,null,null
2023,DOG,BULLMASTIFF,72,44954,0.0016,81,null,null,null,null,null,null
2024,DOG,BULLMASTIFF,61,46201,0.0013,93,72,-11,-0.1528,0.0016,-0.0003,-0.1875
2025,DOG,BULLMASTIFF,51,37502,0.0014,90,61,-10,-0.1639,0.0013,0.0001,0.0769
2023,DOG,CAIRN TERRIER,137,44954,0.003,56,null,null,null,null,null,null
2024,DOG,CAIRN TERRIER,130,46201,0.0028,59,137,-7,-0.0511,0.003,-0.0002,-0.0667
2025,DOG,CAIRN TERRIER,97,37502,0.0026,62,130,-33,-0.2538,0.0028,-0.0002,-0.0714
2023,DOG,CANAAN DOG,14,44954,0.0003,152,null,null,null,null,null,null
2024,DOG,CANAAN DOG,13,46201,0.0003,157,14,-1,-0.0714,0.0003,0,0
2025,DOG,CANAAN DOG,8,37502,0.0002,172,13,-5,-0.3846,0.0003,-0.0001,-0.3333
2023,DOG,CANE CORSO,273,44954,0.0061,37,null,null,null,null,null,null
2024,DOG,CANE CORSO,298,46201,0.0065,36,273,25,0.0916,0.0061,0.0004,0.0656
2025,DOG,CANE CORSO,225,37502,0.006,38,298,-73,-0.245,0.0065,-0.0005,-0.0769
2023,DOG,CARDIGAN WELSH CORGI,173,44954,0.0038,47,null,null,null,null,null,null
2024,DOG,CARDIGAN WELSH CORGI,167,46201,0.0036,51,173,-6,-0.0347,0.0038,-0.0002,-0.0526
2025,DOG,CARDIGAN WELSH CORGI,137,37502,0.0037,52,167,-30,-0.1796,0.0036,0.0001,0.0278
2023,DOG,CAROLINA DOG,19,44954,0.0004,138,null,null,null,null,null,null
2024,DOG,CAROLINA DOG,15,46201,0.0003,149,19,-4,-0.2105,0.0004,-0.0001,-0.25
2025,DOG,CAROLINA DOG,12,37502,0.0003,155,15,-3,-0.2,0.0003,0,0
2023,DOG,CATAHOULA LEOPARD DOG,54,44954,0.0012,95,null,null,null,null,null,null
2024,DOG,CATAHOULA LEOPARD DOG,54,46201,0.0012,98,54,0,0,0.0012,0,0
2025,DOG,CATAHOULA LEOPARD DOG,55,37502,0.0015,84,54,1,0.0185,0.0012,0.0003,0.25
2023,DOG,CAUCASIAN SHEPHERD DOG,1,44954,0,245,null,null,null,null,null,null
2024,DOG,CAUCASIAN SHEPHERD DOG,1,46201,0,263,1,0,0,0,0,null
2025,DOG,CAUCASIAN SHEPHERD DOG,1,37502,0,269,1,0,0,0,0,null
2023,DOG,CAVALIER KING CHARLES SPANIEL,406,44954,0.009,30,null,null,null,null,null,null
2024,DOG,CAVALIER KING CHARLES SPANIEL,432,46201,0.0094,28,406,26,0.064,0.009,0.0004,0.0444
2025,DOG,CAVALIER KING CHARLES SPANIEL,375,37502,0.01,27,432,-57,-0.1319,0.0094,0.0006,0.0638
2023,DOG,CHESAPEAKE BAY RETRIEVER,26,44954,0.0006,124,null,null,null,null,null,null
2024,DOG,CHESAPEAKE BAY RETRIEVER,26,46201,0.0006,123,26,0,0,0.0006,0,0
2025,DOG,CHESAPEAKE BAY RETRIEVER,24,37502,0.0006,121,26,-2,-0.0769,0.0006,0,0
2023,DOG,CHIHUAHUA,4,44954,0.0001,206,null,null,null,null,null,null
2024,DOG,CHIHUAHUA,2,46201,0,229,4,-2,-0.5,0.0001,-0.0001,-1
2025,DOG,CHIHUAHUA,3,37502,0.0001,211,2,1,0.5,0,0.0001,null
2023,DOG,CHIHUAHUA LONGHAIR,83,44954,0.0018,74,null,null,null,null,null,null
2024,DOG,CHIHUAHUA LONGHAIR,122,46201,0.0026,61,83,39,0.4699,0.0018,0.0008,0.4444
2025,DOG,CHIHUAHUA LONGHAIR,104,37502,0.0028,60,122,-18,-0.1475,0.0026,0.0002,0.0769
2025,DOG,CHIHUAHUA MIX,1,37502,0,270,null,null,null,null,null,null
2023,DOG,CHIHUAHUA SHORTHAIR,1379,44954,0.0307,7,null,null,null,null,null,null
2024,DOG,CHIHUAHUA SHORTHAIR,1425,46201,0.0308,7,1379,46,0.0334,0.0307,0.0001,0.0033
2025,DOG,CHIHUAHUA SHORTHAIR,1174,37502,0.0313,7,1425,-251,-0.1761,0.0308,0.0005,0.0162
2023,DOG,CHINESE CRESTED,44,44954,0.001,105,null,null,null,null,null,null
2024,DOG,CHINESE CRESTED,50,46201,0.0011,100,44,6,0.1364,0.001,0.0001,0.1
2025,DOG,CHINESE CRESTED,27,37502,0.0007,114,50,-23,-0.46,0.0011,-0.0004,-0.3636
2024,DOG,CHINESE FIELD D,1,46201,0,264,null,null,null,null,null,null
2025,DOG,CHINESE SHAR-PE,1,37502,0,271,null,null,null,null,null,null
2023,DOG,CHINESE SHAR-PEI,89,44954,0.002,69,null,null,null,null,null,null
2024,DOG,CHINESE SHAR-PEI,99,46201,0.0021,69,89,10,0.1124,0.002,0.0001,0.05
2025,DOG,CHINESE SHAR-PEI,58,37502,0.0015,81,99,-41,-0.4141,0.0021,-0.0006,-0.2857
2024,DOG,CHINOOK,1,46201,0,265,null,null,null,null,null,null
2024,DOG,CHIWEENIE,1,46201,0,266,null,null,null,null,null,null
2025,DOG,CHIWEENIE,2,37502,0.0001,224,1,1,1,0,0.0001,null
2023,DOG,CHORKIE,1,44954,0,246,null,null,null,null,null,null
2024,DOG,CHORKIE,1,46201,0,267,1,0,0,0,0,null
2025,DOG,CHORKIE,1,37502,0,272,1,0,0,0,0,null
2023,DOG,CHOW CHOW,95,44954,0.0021,68,null,null,null,null,null,null
2024,DOG,CHOW CHOW,119,46201,0.0026,62,95,24,0.2526,0.0021,0.0005,0.2381
2025,DOG,CHOW CHOW,92,37502,0.0025,63,119,-27,-0.2269,0.0026,-0.0001,-0.0385
2023,DOG,CHOW CHOW MIX,1,44954,0,247,null,null,null,null,null,null
2025,DOG,CHUG,1,37502,0,273,null,null,null,null,null,null
2023,DOG,CIRNECO DELLETNA,1,44954,0,248,null,null,null,null,null,null
2024,DOG,CIRNECO DELLETNA,1,46201,0,268,1,0,0,0,0,null
2025,DOG,CIRNECO DELLETNA,2,37502,0.0001,225,1,1,1,0,0.0001,null
2023,DOG,CLUMBER SPANIEL,1,44954,0,249,null,null,null,null,null,null
2024,DOG,CLUMBER SPANIEL,1,46201,0,269,1,0,0,0,0,null
2025,DOG,COBBEDOG LABRAD,1,37502,0,274,null,null,null,null,null,null
2025,DOG,COCKAPOO,1,37502,0,275,null,null,null,null,null,null
2023,DOG,COCKER SPANIEL,1638,44954,0.0364,6,null,null,null,null,null,null
2024,DOG,COCKER SPANIEL,1725,46201,0.0373,6,1638,87,0.0531,0.0364,0.0009,0.0247
2025,DOG,COCKER SPANIEL,1438,37502,0.0383,5,1725,-287,-0.1664,0.0373,0.001,0.0268
2023,DOG,COLLIE ROUGH,111,44954,0.0025,61,null,null,null,null,null,null
2024,DOG,COLLIE ROUGH,105,46201,0.0023,66,111,-6,-0.0541,0.0025,-0.0002,-0.08
2025,DOG,COLLIE ROUGH,87,37502,0.0023,66,105,-18,-0.1714,0.0023,0,0
2023,DOG,COLLIE SMOOTH,83,44954,0.0018,75,null,null,null,null,null,null
2024,DOG,COLLIE SMOOTH,76,46201,0.0016,81,83,-7,-0.0843,0.0018,-0.0002,-0.1111
2025,DOG,COLLIE SMOOTH,62,37502,0.0017,77,76,-14,-0.1842,0.0016,0.0001,0.0625
2025,DOG,CORGI-BLUE HEEL,1,37502,0,276,null,null,null,null,null,null
2023,DOG,COTON DE TULEAR,187,44954,0.0042,44,null,null,null,null,null,null
2024,DOG,COTON DE TULEAR,197,46201,0.0043,43,187,10,0.0535,0.0042,0.0001,0.0238
2025,DOG,COTON DE TULEAR,144,37502,0.0038,50,197,-53,-0.269,0.0043,-0.0005,-0.1163
2025,DOG,CROSS LAB & GOL,1,37502,0,277,null,null,null,null,null,null
2023,DOG,DACHSHUND,332,44954,0.0074,32,null,null,null,null,null,null
2024,DOG,DACHSHUND,324,46201,0.007,32,332,-8,-0.0241,0.0074,-0.0004,-0.0541
2025,DOG,DACHSHUND,258,37502,0.0069,35,324,-66,-0.2037,0.007,-0.0001,-0.0143
2023,DOG,DACHSHUND LONGHAIRED,34,44954,0.0008,112,null,null,null,null,null,null
2024,DOG,DACHSHUND LONGHAIRED,46,46201,0.001,104,34,12,0.3529,0.0008,0.0002,0.25
2025,DOG,DACHSHUND LONGHAIRED,31,37502,0.0008,111,46,-15,-0.3261,0.001,-0.0002,-0.2
2023,DOG,DACHSHUND MINIATURE,258,44954,0.0057,38,null,null,null,null,null,null
2024,DOG,DACHSHUND MINIATURE,293,46201,0.0063,37,258,35,0.1357,0.0057,0.0006,0.1053
2025,DOG,DACHSHUND MINIATURE,264,37502,0.007,33,293,-29,-0.099,0.0063,0.0007,0.1111
2023,DOG,DACHSHUND STANDARD,2,44954,0,225,null,null,null,null,null,null
2025,DOG,DACHSHUND STANDARD,3,37502,0.0001,212,2,1,0.5,0,0.0001,null
2023,DOG,DACHSHUND WIREHAIRED,13,44954,0.0003,157,null,null,null,null,null,null
2024,DOG,DACHSHUND WIREHAIRED,11,46201,0.0002,169,13,-2,-0.1538,0.0003,-0.0001,-0.3333
2025,DOG,DACHSHUND WIREHAIRED,10,37502,0.0003,160,11,-1,-0.0909,0.0002,0.0001,0.5
2023,DOG,DALMATIAN,54,44954,0.0012,96,null,null,null,null,null,null
2024,DOG,DALMATIAN,54,46201,0.0012,99,54,0,0,0.0012,0,0
2025,DOG,DALMATIAN,32,37502,0.0009,108,54,-22,-0.4074,0.0012,-0.0003,-0.25
2023,DOG,DANDIE DINMONT TERRIER,5,44954,0.0001,200,null,null,null,null,null,null
2024,DOG,DANDIE DINMONT TERRIER,4,46201,0.0001,205,5,-1,-0.2,0.0001,0,0
2025,DOG,DANDIE DINMONT TERRIER,4,37502,0.0001,200,4,0,0,0.0001,0,0
2023,DOG,DOBERMAN PINSCHER,283,44954,0.0063,36,null,null,null,null,null,null
2024,DOG,DOBERMAN PINSCHER,283,46201,0.0061,39,283,0,0,0.0063,-0.0002,-0.0317
2025,DOG,DOBERMAN PINSCHER,204,37502,0.0054,40,283,-79,-0.2792,0.0061,-0.0007,-0.1148
2023,DOG,DOGO ARGENTINO,53,44954,0.0012,97,null,null,null,null,null,null
2024,DOG,DOGO ARGENTINO,69,46201,0.0015,87,53,16,0.3019,0.0012,0.0003,0.25
2025,DOG,DOGO ARGENTINO,48,37502,0.0013,93,69,-21,-0.3043,0.0015,-0.0002,-0.1333
2023,DOG,DOGUE DE BORDEAUX,14,44954,0.0003,153,null,null,null,null,null,null
2024,DOG,DOGUE DE BORDEAUX,18,46201,0.0004,141,14,4,0.2857,0.0003,0.0001,0.3333
2025,DOG,DOGUE DE BORDEAUX,13,37502,0.0003,149,18,-5,-0.2778,0.0004,-0.0001,-0.25
2024,DOG,DOMESTIC LONGHAIR,1,46201,0,270,null,null,null,null,null,null
2024,DOG,DOMESTIC SHORTHAIR,2,46201,0,230,null,null,null,null,null,null
2023,DOG,DUTCH SHEPHERD,35,44954,0.0008,110,null,null,null,null,null,null
2024,DOG,DUTCH SHEPHERD,37,46201,0.0008,114,35,2,0.0571,0.0008,0,0
2025,DOG,DUTCH SHEPHERD,27,37502,0.0007,115,37,-10,-0.2703,0.0008,-0.0001,-0.125
2025,DOG,ENG TOY SPANIEL,1,37502,0,278,null,null,null,null,null,null
2023,DOG,ENGLISH BULLDOG,130,44954,0.0029,57,null,null,null,null,null,null
2024,DOG,ENGLISH BULLDOG,144,46201,0.0031,55,130,14,0.1077,0.0029,0.0002,0.069
2025,DOG,ENGLISH BULLDOG,142,37502,0.0038,51,144,-2,-0.0139,0.0031,0.0007,0.2258
2023,DOG,ENGLISH COCKER SPANIEL,57,44954,0.0013,91,null,null,null,null,null,null
2024,DOG,ENGLISH COCKER SPANIEL,68,46201,0.0015,89,57,11,0.193,0.0013,0.0002,0.1538
2025,DOG,ENGLISH COCKER SPANIEL,57,37502,0.0015,83,68,-11,-0.1618,0.0015,0,0
2023,DOG,ENGLISH COONHOUND,48,44954,0.0011,103,null,null,null,null,null,null
2024,DOG,ENGLISH COONHOUND,45,46201,0.001,105,48,-3,-0.0625,0.0011,-0.0001,-0.0909
2025,DOG,ENGLISH COONHOUND,39,37502,0.001,100,45,-6,-0.1333,0.001,0,0
2023,DOG,ENGLISH FOXHOUND,12,44954,0.0003,163,null,null,null,null,null,null
2024,DOG,ENGLISH FOXHOUND,9,46201,0.0002,176,12,-3,-0.25,0.0003,-0.0001,-0.3333
2025,DOG,ENGLISH FOXHOUND,7,37502,0.0002,178,9,-2,-0.2222,0.0002,0,0
2023,DOG,ENGLISH HOUND,1,44954,0,250,null,null,null,null,null,null
2023,DOG,ENGLISH POINTER,19,44954,0.0004,139,null,null,null,null,null,null
2024,DOG,ENGLISH POINTER,18,46201,0.0004,142,19,-1,-0.0526,0.0004,0,0
2025,DOG,ENGLISH POINTER,13,37502,0.0003,150,18,-5,-0.2778,0.0004,-0.0001,-0.25
2023,DOG,ENGLISH SETTER,43,44954,0.001,106,null,null,null,null,null,null
2024,DOG,ENGLISH SETTER,43,46201,0.0009,107,43,0,0,0.001,-0.0001,-0.1
2025,DOG,ENGLISH SETTER,21,37502,0.0006,125,43,-22,-0.5116,0.0009,-0.0003,-0.3333
2023,DOG,ENGLISH SHEPHERD,3,44954,0.0001,214,null,null,null,null,null,null
2024,DOG,ENGLISH SHEPHERD,3,46201,0.0001,219,3,0,0,0.0001,0,0
2025,DOG,ENGLISH SHEPHERD,4,37502,0.0001,201,3,1,0.3333,0.0001,0,0
2023,DOG,ENGLISH SPRINGER SPANIEL,202,44954,0.0045,42,null,null,null,null,null,null
2024,DOG,ENGLISH SPRINGER SPANIEL,199,46201,0.0043,42,202,-3,-0.0149,0.0045,-0.0002,-0.0444
2025,DOG,ENGLISH SPRINGER SPANIEL,155,37502,0.0041,44,199,-44,-0.2211,0.0043,-0.0002,-0.0465
2024,DOG,ENGLISH TOY SPANIEL,1,46201,0,271,null,null,null,null,null,null
2025,DOG,ENGLISH TOY SPANIEL,2,37502,0.0001,226,1,1,1,0,0.0001,null
2023,DOG,ENTLEBUCHER MOUNTAIN DOG,9,44954,0.0002,174,null,null,null,null,null,null
2024,DOG,ENTLEBUCHER MOUNTAIN DOG,16,46201,0.0003,147,9,7,0.7778,0.0002,0.0001,0.5
2025,DOG,ENTLEBUCHER MOUNTAIN DOG,11,37502,0.0003,158,16,-5,-0.3125,0.0003,0,0
2023,DOG,EURASIER,13,44954,0.0003,158,null,null,null,null,null,null
2024,DOG,EURASIER,15,46201,0.0003,150,13,2,0.1538,0.0003,0,0
2025,DOG,EURASIER,17,37502,0.0005,135,15,2,0.1333,0.0003,0.0002,0.6667
2023,DOG,FEIST,81,44954,0.0018,76,null,null,null,null,null,null
2024,DOG,FEIST,79,46201,0.0017,77,81,-2,-0.0247,0.0018,-0.0001,-0.0556
2025,DOG,FEIST,67,37502,0.0018,74,79,-12,-0.1519,0.0017,0.0001,0.0588
2023,DOG,FIELD SPANIEL,8,44954,0.0002,179,null,null,null,null,null,null
2024,DOG,FIELD SPANIEL,7,46201,0.0002,188,8,-1,-0.125,0.0002,0,0
2025,DOG,FIELD SPANIEL,4,37502,0.0001,202,7,-3,-0.4286,0.0002,-0.0001,-0.5
2023,DOG,FILA BRASILEIRO,10,44954,0.0002,169,null,null,null,null,null,null
2024,DOG,FILA BRASILEIRO,8,46201,0.0002,180,10,-2,-0.2,0.0002,0,0
2025,DOG,FILA BRASILEIRO,6,37502,0.0002,183,8,-2,-0.25,0.0002,0,0
2023,DOG,FINNISH SPITZ,18,44954,0.0004,142,null,null,null,null,null,null
2024,DOG,FINNISH SPITZ,19,46201,0.0004,138,18,1,0.0556,0.0004,0,0
2025,DOG,FINNISH SPITZ,16,37502,0.0004,139,19,-3,-0.1579,0.0004,0,0
2023,DOG,FLAT COATED RETRIEVER,43,44954,0.001,107,null,null,null,null,null,null
2024,DOG,FLAT COATED RETRIEVER,43,46201,0.0009,108,43,0,0,0.001,-0.0001,-0.1
2025,DOG,FLAT COATED RETRIEVER,38,37502,0.001,101,43,-5,-0.1163,0.0009,0.0001,0.1111
2023,DOG,FORMOSAN MOUNTAIN DOG,12,44954,0.0003,164,null,null,null,null,null,null
2024,DOG,FORMOSAN MOUNTAIN DOG,12,46201,0.0003,164,12,0,0,0.0003,0,0
2025,DOG,FORMOSAN MOUNTAIN DOG,10,37502,0.0003,161,12,-2,-0.1667,0.0003,0,0
2025,DOG,FOX TERRIER (SM,1,37502,0,279,null,null,null,null,null,null
2023,DOG,FOX TERRIER SMOOTH,16,44954,0.0004,146,null,null,null,null,null,null
2024,DOG,FOX TERRIER SMOOTH,27,46201,0.0006,120,16,11,0.6875,0.0004,0.0002,0.5
2025,DOG,FOX TERRIER SMOOTH,29,37502,0.0008,112,27,2,0.0741,0.0006,0.0002,0.3333
2023,DOG,FOX TERRIER WIRE,56,44954,0.0012,93,null,null,null,null,null,null
2024,DOG,FOX TERRIER WIRE,55,46201,0.0012,97,56,-1,-0.0179,0.0012,0,0
2025,DOG,FOX TERRIER WIRE,40,37502,0.0011,99,55,-15,-0.2727,0.0012,-0.0001,-0.0833
2023,DOG,FRENCH BULLDOG,546,44954,0.0121,23,null,null,null,null,null,null
2024,DOG,FRENCH BULLDOG,568,46201,0.0123,23,546,22,0.0403,0.0121,0.0002,0.0165
2025,DOG,FRENCH BULLDOG,480,37502,0.0128,21,568,-88,-0.1549,0.0123,0.0005,0.0407
2023,DOG,FRENCH SPANIEL,2,44954,0,226,null,null,null,null,null,null
2024,DOG,FRENCH SPANIEL,2,46201,0,231,2,0,0,0,0,null
2025,DOG,FRENCH SPANIEL,1,37502,0,280,2,-1,-0.5,0,0,null
2023,DOG,GANARASKAN,50,44954,0.0011,100,null,null,null,null,null,null
2024,DOG,GANARASKAN,56,46201,0.0012,96,50,6,0.12,0.0011,0.0001,0.0909
2025,DOG,GANARASKAN,33,37502,0.0009,107,56,-23,-0.4107,0.0012,-0.0003,-0.25
2023,DOG,GERMAN PINSCHER,7,44954,0.0002,186,null,null,null,null,null,null
2024,DOG,GERMAN PINSCHER,10,46201,0.0002,171,7,3,0.4286,0.0002,0,0
2025,DOG,GERMAN PINSCHER,9,37502,0.0002,165,10,-1,-0.1,0.0002,0,0
2025,DOG,GERMAN POINTER,2,37502,0.0001,227,null,null,null,null,null,null
2023,DOG,GERMAN SHEPHERD DOG,2208,44954,0.0491,3,null,null,null,null,null,null
2024,DOG,GERMAN SHEPHERD DOG,2222,46201,0.0481,3,2208,14,0.0063,0.0491,-0.001,-0.0204
2025,DOG,GERMAN SHEPHERD DOG,1726,37502,0.046,3,2222,-496,-0.2232,0.0481,-0.0021,-0.0437
2024,DOG,GERMAN SHEPPHER,1,46201,0,272,null,null,null,null,null,null
2025,DOG,GERMAN SHEPPHER,2,37502,0.0001,228,1,1,1,0,0.0001,null
2023,DOG,GERMAN SHORTHAIRED POINTER,151,44954,0.0034,50,null,null,null,null,null,null
2024,DOG,GERMAN SHORTHAIRED POINTER,145,46201,0.0031,54,151,-6,-0.0397,0.0034,-0.0003,-0.0882
2025,DOG,GERMAN SHORTHAIRED POINTER,107,37502,0.0029,58,145,-38,-0.2621,0.0031,-0.0002,-0.0645
2023,DOG,GERMAN WIREHAIRED POINTER,8,44954,0.0002,180,null,null,null,null,null,null
