Year,Animal_Type,FSA,total,top1_breed,top1_cnt,top2_breed,top2_cnt,top3_breed,top3_cnt
2024,CAT,M9N,153,DOMESTIC SHORTHAIR,127,DOMESTIC LONGHAIR,11,DOMESTIC MEDIUMHAIR,9
2024,CAT,M9P,115,DOMESTIC SHORTHAIR,90,DOMESTIC MEDIUMHAIR,13,DOMESTIC LONGHAIR,4
2024,CAT,M9R,166,DOMESTIC SHORTHAIR,130,DOMESTIC MEDIUMHAIR,16,DOMESTIC LONGHAIR,11
2024,CAT,M9V,122,DOMESTIC SHORTHAIR,84,DOMESTIC MEDIUMHAIR,15,DOMESTIC LONGHAIR,11
2024,CAT,M9W,158,DOMESTIC SHORTHAIR,125,DOMESTIC MEDIUMHAIR,11,DOMESTIC LONGHAIR,10
2024,DOG,K0L,1,BULLDOG,1,null,null,null,null
2024,DOG,K6K,1,POODLE STANDARD,1,null,null,null,null
2024,DOG,L1E,1,ROTTWEILER,1,null,null,null,null
2024,DOG,L1N,1,YORKSHIRE TERRIER,1,null,null,null,null
2024,DOG,L3T,1,MALTESE,1,null,null,null,null
2024,DOG,L3Z,1,ROTTWEILER,1,null,null,null,null
2024,DOG,L4A,1,LABRADOR RETRIEVER,1,null,null,null,null
2024,DOG,L4C,2,AMERICAN BULLDOG,1,HOUND,1,null,null
2024,DOG,L4R,2,CANE CORSO,1,GOLDEN RETRIEVER,1,null,null
2024,DOG,L4Y,1,MASTIFF,1,null,null,null,null
2024,DOG,L7G,1,ROTTWEILER,1,null,null,null,null
2024,DOG,L9V,2,BULLMASTIFF,2,null,null,null,null
2024,DOG,M1B,459,SHIHTZU,43,GERMAN SHEPHERD DOG,34,LABRADOR RETRIEVER,32
2024,DOG,M1C,578,LABRADOR RETRIEVER,68,GOLDEN RETRIEVER,43,SHIHTZU,34
2024,DOG,M1E,686,GOLDEN RETRIEVER,53,LABRADOR RETRIEVER,51,GERMAN SHEPHERD DOG,45
2024,DOG,M1G,282,GERMAN SHEPHERD DOG,21,LABRADOR RETRIEVER,20,GOLDEN RETRIEVER,17
2024,DOG,M1H,201,GERMAN SHEPHERD DOG,20,LABRADOR RETRIEVER,16,SHIHTZU,15
2024,DOG,M1J,307,LABRADOR RETRIEVER,26,SHIHTZU,22,GOLDEN RETRIEVER,21
2024,DOG,M1K,409,LABRADOR RETRIEVER,28,SHIHTZU,24,GERMAN SHEPHERD DOG,23
2024,DOG,M1L,393,LABRADOR RETRIEVER,36,GERMAN SHEPHERD DOG,28,GOLDEN RETRIEVER,26
2024,DOG,M1M,482,LABRADOR RETRIEVER,50,GOLDEN RETRIEVER,44,GERMAN SHEPHERD DOG,38
2024,DOG,M1N,630,LABRADOR RETRIEVER,63,GOLDEN RETRIEVER,53,GERMAN SHEPHERD DOG,40
2024,DOG,M1P,378,SHIHTZU,39,LABRADOR RETRIEVER,31,GOLDEN RETRIEVER,27
2024,DOG,M1R,377,LABRADOR RETRIEVER,36,GERMAN SHEPHERD DOG,34,SHIHTZU,25
2024,DOG,M1S,309,LABRADOR RETRIEVER,29,GOLDEN RETRIEVER,25,GERMAN SHEPHERD DOG,24
2024,DOG,M1T,341,SHIHTZU,27,LABRADOR RETRIEVER,24,MALTESE,21
2024,DOG,M1V,338,SHIHTZU,26,GERMAN SHEPHERD DOG,23,LABRADOR RETRIEVER,22
2024,DOG,M1W,350,LABRADOR RETRIEVER,25,SHIHTZU,23,POODLE MINIATURE,22
2024,DOG,M1X,86,SHIHTZU,12,LABRADOR RETRIEVER,8,GOLDEN RETRIEVER,6
2024,DOG,M2H,267,GERMAN SHEPHERD DOG,33,LABRADOR RETRIEVER,25,GOLDEN RETRIEVER,19
2024,DOG,M2J,638,LABRADOR RETRIEVER,48,GOLDEN RETRIEVER,39,SHIHTZU,39
