Year,Animal_Type,FSA,total,top1_breed,top1_cnt,top2_breed,top2_cnt,top3_breed,top3_cnt
2025,DOG,M2J,585,LABRADOR RETRIEVER,39,SHIHTZU,33,GERMAN SHEPHERD DOG,32
2025,DOG,M2K,341,GOLDEN RETRIEVER,23,COCKER SPANIEL,22,LABRADOR RETRIEVER,22
2025,DOG,M2L,252,GOLDEN RETRIEVER,33,LABRADOR RETRIEVER,24,GERMAN SHEPHERD DOG,14
2025,DOG,M2M,252,GOLDEN RETRIEVER,26,MALTESE,17,GERMAN SHEPHERD DOG,16
2025,DOG,M2N,851,GERMAN SHEPHERD DOG,67,GOLDEN RETRIEVER,58,LABRADOR RETRIEVER,54
2025,DOG,M2P,158,GOLDEN RETRIEVER,17,GERMAN SHEPHERD DOG,16,LABRADOR RETRIEVER,10
2025,DOG,M2R,376,LABRADOR RETRIEVER,36,GOLDEN RETRIEVER,34,SHIHTZU,31
2025,DOG,M3A,451,LABRADOR RETRIEVER,38,GOLDEN RETRIEVER,36,GERMAN SHEPHERD DOG,32
2025,DOG,M3B,235,AMERICAN BULLDOG,28,GOLDEN RETRIEVER,19,GERMAN SHEPHERD DOG,15
2025,DOG,M3C,280,LABRADOR RETRIEVER,35,GOLDEN RETRIEVER,26,POODLE MINIATURE,24
2025,DOG,M3H,594,GOLDEN RETRIEVER,53,LABRADOR RETRIEVER,37,COCKER SPANIEL,34
2025,DOG,M3J,189,CHIHUAHUA SHORTHAIR,19,GERMAN SHEPHERD DOG,14,SHIHTZU,12
2025,DOG,M3K,78,LABRADOR RETRIEVER,8,GERMAN SHEPHERD DOG,6,GOLDEN RETRIEVER,5
2025,DOG,M3L,199,AMERICAN BULLDOG,53,GERMAN SHEPHERD DOG,27,CHIHUAHUA SHORTHAIR,10
2025,DOG,M3M,250,AMERICAN BULLDOG,42,GERMAN SHEPHERD DOG,30,LABRADOR RETRIEVER,20
2025,DOG,M3N,209,GERMAN SHEPHERD DOG,19,SHIHTZU,18,GOLDEN RETRIEVER,17
2025,DOG,M4A,147,GOLDEN RETRIEVER,14,AMERICAN BULLDOG,11,LABRADOR RETRIEVER,11
2025,DOG,M4B,351,GERMAN SHEPHERD DOG,23,LABRADOR RETRIEVER,22,GOLDEN RETRIEVER,20
2025,DOG,M4C,906,LABRADOR RETRIEVER,92,GOLDEN RETRIEVER,64,GERMAN SHEPHERD DOG,54
2025,DOG,M4E,934,LABRADOR RETRIEVER,104,GOLDEN RETRIEVER,94,ROTTWEILER,48
2025,DOG,M4G,566,LABRADOR RETRIEVER,90,GOLDEN RETRIEVER,76,COCKER SPANIEL,25
2025,DOG,M4H,35,CHIHUAHUA SHORTHAIR,8,YORKSHIRE TERRIER,4,SHIHTZU,3
2025,DOG,M4J,856,LABRADOR RETRIEVER,115,GOLDEN RETRIEVER,65,GERMAN SHEPHERD DOG,45
2025,DOG,M4K,790,LABRADOR RETRIEVER,78,GOLDEN RETRIEVER,61,GERMAN SHEPHERD DOG,43
2025,DOG,M4L,1065,LABRADOR RETRIEVER,134,GOLDEN RETRIEVER,87,GERMAN SHEPHERD DOG,47
2025,DOG,M4M,685,LABRADOR RETRIEVER,68,GOLDEN RETRIEVER,53,UNKNOWN,31
2025,DOG,M4N,485,GOLDEN RETRIEVER,67,LABRADOR RETRIEVER,65,COCKER SPANIEL,31
