Year,ANIMAL_TYPE,breed,cnt,share
2023,CAT,BRITISH SHORTHAIR,129,0.0073
2023,DOG,SOFT COATED WHEATEN TERRIER,321,0.0071
2025,DOG,DACHSHUND MINIATURE,264,0.007
2024,DOG,DACHSHUND,324,0.007
2025,DOG,SHIBA INU,257,0.0069
2024,DOG,SHIBA INU,320,0.0069
2025,DOG,DACHSHUND,258,0.0069
2025,DOG,WEST HIGHLAND WHITE TERRIER,259,0.0069
2024,DOG,WEST HIGHLAND WHITE TERRIER,314,0.0068
2023,DOG,SHIBA INU,300,0.0067
2025,CAT,SCOTTISH FOLD,101,0.0066
2024,DOG,PEMBROKE WELSH CORGI,307,0.0066
2025,CAT,RUSSIAN BLUE,101,0.0066
2024,DOG,CANE CORSO,298,0.0065
2023,DOG,UNKNOWN,284,0.0063
2024,DOG,SOFT COATED WHEATEN TERRIER,291,0.0063
2024,DOG,DACHSHUND MINIATURE,293,0.0063
2023,CAT,RUSSIAN BLUE,111,0.0063
2023,DOG,DOBERMAN PINSCHER,283,0.0063
2024,DOG,DOBERMAN PINSCHER,283,0.0061
2023,DOG,CANE CORSO,273,0.0061
2025,DOG,SOFT COATED WHEATEN TERRIER,229,0.0061
2025,DOG,CANE CORSO,225,0.006
2023,DOG,DACHSHUND MINIATURE,258,0.0057
2025,DOG,AMERICAN BULLY,209,0.0056
2023,DOG,HOUND,250,0.0056
2023,DOG,PEMBROKE WELSH CORGI,249,0.0055
2024,CAT,SCOTTISH FOLD,101,0.0054
2025,DOG,DOBERMAN PINSCHER,204,0.0054
2024,CAT,RUSSIAN BLUE,99,0.0053
2023,CAT,SCOTTISH FOLD,94,0.0053
2025,DOG,HOUND,198,0.0053
2024,DOG,HOUND,247,0.0053
2025,DOG,AUSTRALIAN CATTLE DOG,190,0.0051
2023,DOG,AUSTRALIAN CATTLE DOG,228,0.0051
2024,DOG,AUSTRALIAN CATTLE DOG,227,0.0049
2023,CAT,AMERICAN SHORTHAIR,81,0.0046
2025,CAT,HIMALAYAN,70,0.0046
2023,DOG,ENGLISH SPRINGER SPANIEL,202,0.0045
2023,DOG,SHETLAND SHEEPDOG,196,0.0044
2024,DOG,COTON DE TULEAR,197,0.0043
2024,DOG,ENGLISH SPRINGER SPANIEL,199,0.0043
2025,DOG,JINDO,159,0.0042
2023,DOG,COTON DE TULEAR,187,0.0042
2024,DOG,WHIPPET,188,0.0041
2025,DOG,WHIPPET,155,0.0041
2025,DOG,ENGLISH SPRINGER SPANIEL,155,0.0041
2024,DOG,MASTIFF,191,0.0041
2023,DOG,VIZSLA,185,0.0041
2025,DOG,SAMOYED,151,0.004
2024,DOG,SHETLAND SHEEPDOG,183,0.004
2025,DOG,SHETLAND SHEEPDOG,148,0.0039
