Year,ANIMAL_TYPE,rows,mapped_rows,pct_mapped,null_fsa_rows,last_processed_ts
2025,CAT,15290,15270,0.9986919555264879,32,2025-11-02T15:02:32.749Z
2025,DOG,37502,37439,0.9983200895952216,45,2025-11-02T15:02:32.749Z
2024,CAT,18729,18726,0.999839820599071,49,2025-11-02T15:02:32.749Z
2024,DOG,46201,46168,0.9992857297461094,73,2025-11-02T15:02:32.749Z
2023,CAT,17747,17744,0.9998309573449033,60,2025-11-02T15:02:32.749Z
2023,DOG,44954,44938,0.9996440806157405,56,2025-11-02T15:02:32.749Z
